Ay,Ax,B,ux,uy,phi,t
18,-5,-3,-0.181637075451823,0.542175901930905,0,0.00010659999679774
18,-5,-2,-0.181637075451823,0.542175901930905,0,0.000108499996713363
18,-5,-1,-0.181637075451823,0.542175901930905,0,0.000107699990621768
18,-5,0,-0.181637075451823,0.542175901930905,0,0.000110499997390434
18,-5,1,-0.181637075451823,0.542175901930905,0,0.000111000001197681
18,-5,2,-0.181637075451823,0.542175901930905,0,0.000107900006696582
18,-5,3,-0.181637075451823,0.542175901930905,0,0.000110700013465248
20,-5,-3,-0.207381220437954,0.574699248475219,0,0.000108000007458031
20,-5,-2,-0.207381220437954,0.574699248475219,0,0.000110599998151883
20,-5,-1,-0.207381220437954,0.574699248475219,0,0.000112900001113303
20,-5,0,-0.207381220437954,0.574699248475219,0,0.000109200002043508
20,-5,1,-0.207381220437954,0.574699248475219,0,0.000108099993667565
20,-5,2,-0.207381220437954,0.574699248475219,0,0.000109600005089305
20,-5,3,-0.207381220437954,0.574699248475219,0,0.000109299988253042
0,-4,-3,0,0,0,3.00000829156488E-06
0,-4,-2,0,0,0,1.59999763127416E-06
0,-4,-1,0,0,0,1.39999610837549E-06
0,-4,0,0,0,0,1.49999686982483E-06
0,-4,1,0,0,0,1.29999534692615E-06
0,-4,2,0,0,0,1.20000913739204E-06
0,-4,3,0,0,0,1.29999534692615E-06
0.5,-4,-3,-0.000227687646753327,0.0202431697738159,0,0.000108599997474812
0.5,-4,-2,-0.000227687646753327,0.0202431697738159,0,9.83999925665557E-05
0.5,-4,-1,-0.000227687646753327,0.0202431697738159,0,9.65000072028488E-05
0.5,-4,0,-0.000227687646753327,0.0202431697738159,0,9.56000003498048E-05
0.5,-4,1,-0.000227687646753327,0.0202431697738159,0,9.60000033956021E-05
0.5,-4,2,-0.000227687646753327,0.0202431697738159,0,9.83999925665557E-05
0.5,-4,3,-0.000227687646753327,0.0202431697738159,0,9.61000041570514E-05
1,-4,-3,-0.000909256542949444,0.0404454574686463,0,9.43000050028786E-05
1,-4,-2,-0.000909256542949444,0.0404454574686463,0,9.65999934123829E-05
1,-4,-1,-0.000909256542949444,0.0404454574686463,0,9.69999964581803E-05
1,-4,0,-0.000909256542949444,0.0404454574686463,0,9.50999965425581E-05
1,-4,1,-0.000909256542949444,0.0404454574686463,0,9.65000072028488E-05
1,-4,2,-0.000909256542949444,0.0404454574686463,0,9.58000018727034E-05
1,-4,3,-0.000909256542949444,0.0404454574686463,0,9.32999973883852E-05
2,-4,-3,-0.00361337000519957,0.0805668018886488,0,9.66000079642981E-05
2,-4,-2,-0.00361337000519957,0.0805668018886488,0,9.72999987425283E-05
2,-4,-1,-0.00361337000519957,0.0805668018886488,0,9.66000079642981E-05
2,-4,0,-0.00361337000519957,0.0805668018886488,0,9.75000002654269E-05
2,-4,1,-0.00361337000519957,0.0805668018886488,0,9.52999980654568E-05
2,-4,2,-0.00361337000519957,0.0805668018886488,0,9.40000027185306E-05
2,-4,3,-0.00361337000519957,0.0805668018886488,0,9.75000002654269E-05
3,-4,-3,-0.00804330662212892,0.120055225369055,0,0.00010959999053739
3,-4,-2,-0.00804330662212892,0.120055225369055,0,9.29000088945031E-05
3,-4,-1,-0.00804330662212892,0.120055225369055,0,9.69000102486461E-05
3,-4,0,-0.00804330662212892,0.120055225369055,0,0.000111400004243478
3,-4,1,-0.00804330662212892,0.120055225369055,0,8.87999922269955E-05
3,-4,2,-0.00804330662212892,0.120055225369055,0,7.95000087236986E-05
3,-4,3,-0.00804330662212892,0.120055225369055,0,7.98999972175807E-05
4,-4,-3,-0.0140901338110262,0.158630731540375,0,7.90000049164519E-05
4,-4,-2,-0.0140901338110262,0.158630731540375,0,7.82999995863065E-05
4,-4,-1,-0.0140901338110262,0.158630731540375,0,7.82999995863065E-05
4,-4,0,-0.0140901338110262,0.158630731540375,0,0.000170999992405996
4,-4,1,-0.0140901338110262,0.158630731540375,0,8.09000048320741E-05
4,-4,2,-0.0140901338110262,0.158630731540375,0,7.90000049164519E-05
4,-4,3,-0.0140901338110262,0.158630731540375,0,7.82999995863065E-05
5,-4,-3,-0.0216131582722817,0.196052432475612,0,8.3399994764477E-05
5,-4,-2,-0.0216131582722817,0.196052432475612,0,8.3399994764477E-05
5,-4,-1,-0.0216131582722817,0.196052432475612,0,8.35999962873757E-05
5,-4,0,-0.0216131582722817,0.196052432475612,0,8.3099992480129E-05
5,-4,1,-0.0216131582722817,0.196052432475612,0,8.32000077934936E-05
5,-4,2,-0.0216131582722817,0.196052432475612,0,8.35999962873757E-05
5,-4,3,-0.0216131582722817,0.196052432475612,0,8.26000032247976E-05
6,-4,-3,-0.0304495159559137,0.232124870917994,0,8.29999917186797E-05
6,-4,-2,-0.0304495159559137,0.232124870917994,0,9.51000110944733E-05
6,-4,-1,-0.0304495159559137,0.232124870917994,0,8.38999985717237E-05
6,-4,0,-0.0304495159559137,0.232124870917994,0,8.35999962873757E-05
6,-4,1,-0.0304495159559137,0.232124870917994,0,8.86000052560121E-05
6,-4,2,-0.0304495159559137,0.232124870917994,0,9.13999974727631E-05
6,-4,3,-0.0304495159559137,0.232124870917994,0,0.000100599994766526
7,-4,-3,-0.0404239725987347,0.266700305806085,0,0.000102499994682148
7,-4,-2,-0.0404239725987347,0.266700305806085,0,0.000101099998573773
